transaction_id,card_number,amt,city_pop,age,hour,month,distance_cardholder_merchant,category_encoded,gender_encoded,day_of_week_encoded,is_weekend,is_night,velocity_1h,velocity_24h,amount_velocity_1h,is_fraud
EDGE-001,CARD-0001,1.0,50000,35,10,3,2.0,4,1,1,0,0,1,2,1.0,0
EDGE-002,CARD-0001,5.5,50000,35,10,3,2.0,1,1,1,0,0,1,3,6.5,0
EDGE-003,CARD-0002,999.99,12000,28,3,6,145.0,11,0,5,1,1,4,8,3999.96,1
EDGE-004,CARD-0003,1200.0,5000,22,2,11,200.0,8,1,6,1,1,6,12,7200.0,1
EDGE-005,CARD-0004,850.0,500000,55,14,7,3.0,13,0,3,0,0,1,2,850.0,0
EDGE-006,CARD-0005,9.99,20000,30,22,4,50.0,8,1,4,0,1,8,15,79.92,1
EDGE-007,CARD-0006,15.0,20000,30,23,4,60.0,9,0,4,0,1,9,18,135.0,1
EDGE-008,CARD-0007,67.43,80000,42,11,2,4.5,4,0,6,1,0,1,3,67.43,0
EDGE-009,CARD-0008,32.1,30000,50,9,5,1.2,1,1,2,0,0,1,2,32.1,0
EDGE-010,CARD-0009,450.0,2000,78,1,8,120.0,11,0,0,0,1,3,7,1350.0,1
EDGE-011,CARD-0010,60.0,15000,33,7,9,0.8,2,1,1,0,0,1,1,60.0,0
EDGE-012,CARD-0011,80.0,8000,26,2,10,95.0,2,0,0,0,1,5,10,400.0,1
EDGE-013,CARD-0012,120.0,200000,29,18,1,5.0,5,1,5,1,0,1,2,120.0,0
EDGE-014,CARD-0013,299.0,40000,38,15,3,10.0,12,0,2,0,0,1,4,299.0,0
EDGE-015,CARD-0014,301.0,40000,38,3,3,110.0,11,0,2,0,1,3,6,903.0,1
EDGE-016,CARD-0015,45.0,60000,40,13,6,3.0,7,1,6,1,0,1,3,45.0,0
EDGE-017,CARD-0016,22.5,8000000,31,12,7,1.5,1,0,3,0,0,1,2,22.5,0
EDGE-018,CARD-0017,200.0,100000,25,0,12,30.0,0,1,5,1,1,2,4,400.0,0
EDGE-019,CARD-0018,600.0,300000,45,23,8,5.0,13,1,4,0,1,1,2,600.0,0
EDGE-020,CARD-0019,750.0,5000,19,4,2,180.0,8,0,1,0,1,7,14,5250.0,1
