transaction_id,card_number,amt,city_pop,age,hour,month,distance_cardholder_merchant,category_encoded,gender_encoded,day_of_week_encoded,is_weekend,is_night,velocity_1h,velocity_24h,amount_velocity_1h,is_fraud
FRAUD-0014,CARD-1576,1144.06,368430,28,23,12,273.55,0,0,6,0,1,7,10,8008.42,1
NORMAL-0010,CARD-6522,12.91,187865,35,16,3,45.49,3,0,0,0,0,2,3,16.3,0
NORMAL-0001,CARD-3121,22.2,320246,53,8,3,120.45,4,1,0,0,0,1,4,26.63,0
NORMAL-0016,CARD-9572,6.73,211468,67,7,8,3.35,12,1,2,0,0,1,2,7.71,0
FRAUD-0018,CARD-2939,587.52,457170,30,0,8,270.89,8,1,4,0,1,3,18,1762.56,1
NORMAL-0019,CARD-8096,36.7,454934,36,18,10,3.52,10,0,4,0,0,2,2,37.62,0
FRAUD-0027,CARD-8381,990.34,286476,38,3,7,276.58,0,1,3,1,1,8,5,7922.72,1
FRAUD-0026,CARD-7299,965.27,192868,28,23,3,239.05,11,0,6,0,1,7,15,6756.89,1
NORMAL-0003,CARD-7692,280.0,307095,30,10,7,10.65,5,1,1,0,0,2,1,297.01,0
FRAUD-0020,CARD-3325,1206.08,483481,24,23,4,115.75,8,1,3,1,1,6,16,7236.48,1
FRAUD-0013,CARD-9330,647.59,22912,18,1,10,219.14,11,1,2,0,1,5,15,3237.95,1
FRAUD-0005,CARD-3214,1195.58,333199,32,22,7,258.68,8,0,2,0,1,5,6,5977.9,1
NORMAL-0008,CARD-5949,120.16,397108,38,10,12,159.89,6,0,1,0,0,2,3,142.11,0
FRAUD-0009,CARD-4370,1495.66,446858,32,2,12,250.21,11,0,3,0,1,8,10,11965.28,1
FRAUD-0004,CARD-2302,400.13,199876,28,1,3,215.57,13,0,5,1,1,4,15,1600.52,1
FRAUD-0007,CARD-9376,383.48,136243,23,1,7,158.37,11,1,1,1,1,8,10,3067.84,1
NORMAL-0012,CARD-9604,13.89,476214,72,10,4,45.97,12,0,4,0,0,1,4,20.03,0
NORMAL-0017,CARD-6557,102.98,8960,67,19,4,62.07,12,0,3,0,0,2,1,132.08,0
NORMAL-0018,CARD-2766,23.41,292636,70,20,2,93.29,4,1,0,0,0,2,3,24.22,0
FRAUD-0016,CARD-2670,337.32,32694,33,23,6,292.29,0,0,2,1,1,4,11,1349.28,1
FRAUD-0010,CARD-7108,926.43,166555,34,2,4,185.97,13,0,4,1,1,5,10,4632.15,1
FRAUD-0017,CARD-8752,1072.59,440813,37,0,1,120.17,13,1,0,0,1,9,6,9653.31,1
FRAUD-0025,CARD-7740,1350.01,329020,26,22,12,264.07,8,0,4,0,1,7,11,9450.07,1
NORMAL-0005,CARD-3945,7.39,256262,30,7,12,11.1,2,1,4,0,0,2,1,9.73,0
NORMAL-0002,CARD-3523,22.56,322340,61,8,11,16.03,6,0,2,0,0,1,4,29.45,0
FRAUD-0001,CARD-5702,446.06,121391,29,1,5,101.77,11,0,4,1,1,4,19,1784.24,1
NORMAL-0015,CARD-4420,46.77,366185,41,14,6,204.49,4,0,3,0,0,1,1,68.0,0
FRAUD-0028,CARD-1045,450.19,330077,20,0,4,213.21,8,1,5,0,1,4,16,1800.76,1
NORMAL-0004,CARD-6694,79.64,118042,45,13,4,30.4,12,1,1,0,0,1,3,91.37,0
FRAUD-0006,CARD-9856,414.44,447182,25,3,4,146.86,0,0,0,0,1,5,5,2072.2,1
FRAUD-0030,CARD-9375,1433.2,493190,29,0,7,161.37,13,0,3,0,1,3,18,4299.6,1
FRAUD-0012,CARD-1496,1185.56,442729,26,22,8,107.19,11,1,4,0,1,3,8,3556.68,1
NORMAL-0007,CARD-4520,39.82,276861,31,19,8,3.18,4,0,0,0,0,2,3,48.9,0
FRAUD-0002,CARD-3716,624.59,278009,19,2,3,257.64,0,0,6,0,1,7,17,4372.13,1
FRAUD-0022,CARD-9518,880.96,84253,20,2,3,184.37,11,1,2,0,1,6,17,5285.76,1
FRAUD-0003,CARD-6558,861.54,453192,32,1,12,234.54,8,0,1,0,1,4,14,3446.16,1
NORMAL-0014,CARD-5430,79.17,21788,46,7,1,53.95,4,1,4,0,0,2,2,116.11,0
NORMAL-0006,CARD-8719,42.94,81833,33,19,12,40.96,7,1,4,0,0,1,4,62.18,0
FRAUD-0024,CARD-9738,896.25,74416,34,0,5,200.19,8,1,4,1,1,4,16,3585.0,1
NORMAL-0011,CARD-8529,26.63,52685,30,8,7,27.55,6,0,2,0,0,2,4,32.28,0
FRAUD-0011,CARD-3982,729.21,110626,42,1,11,198.88,13,1,2,1,1,6,17,4375.26,1
FRAUD-0023,CARD-8839,1225.85,115609,23,23,5,100.77,0,0,3,1,1,3,14,3677.55,1
FRAUD-0019,CARD-7908,668.55,227016,24,23,12,144.93,0,1,0,0,1,4,13,2674.2,1
NORMAL-0020,CARD-7027,33.8,108155,24,13,9,11.99,5,1,2,0,0,2,2,43.03,0
FRAUD-0021,CARD-6284,1435.49,319564,41,1,4,145.08,8,0,0,1,1,6,15,8612.94,1
FRAUD-0008,CARD-2393,635.7,188201,30,23,6,189.35,0,0,3,0,1,8,6,5085.6,1
NORMAL-0013,CARD-6382,13.34,277824,57,17,3,24.21,7,1,2,0,0,2,3,15.6,0
FRAUD-0015,CARD-9217,773.25,133058,18,22,2,189.64,8,0,2,1,1,3,11,2319.75,1
FRAUD-0029,CARD-1336,542.67,495364,20,3,5,135.75,0,0,1,1,1,7,16,3798.69,1
NORMAL-0009,CARD-6704,26.61,261758,43,20,4,31.6,4,1,1,0,0,2,3,39.8,0
