transaction_id,card_number,amt,city_pop,age,hour,month,distance_cardholder_merchant,category_encoded,gender_encoded,day_of_week_encoded,is_weekend,is_night,velocity_1h,velocity_24h,amount_velocity_1h,is_fraud
NORMAL-0001,CARD-9603,89.72,257750,29,17,10,2.44,2,1,2,0,0,2,3,108.81,0
NORMAL-0002,CARD-1646,31.39,169637,61,18,7,25.89,12,1,4,0,0,1,5,33.67,0
NORMAL-0003,CARD-7709,21.95,392999,33,20,6,10.29,1,1,0,0,0,2,2,25.49,0
NORMAL-0004,CARD-2590,12.43,167415,58,14,9,8.92,3,0,1,0,0,2,5,16.16,0
NORMAL-0005,CARD-3357,21.96,123171,35,13,1,79.01,1,0,3,0,0,2,1,25.69,0
NORMAL-0006,CARD-4216,64.55,219381,44,17,7,16.12,1,1,3,0,0,1,1,72.07,0
NORMAL-0007,CARD-7904,14.22,369522,66,11,7,18.83,12,1,3,0,0,2,3,17.42,0
NORMAL-0008,CARD-8246,56.27,35072,30,15,10,193.9,3,0,2,0,0,1,5,65.86,0
NORMAL-0009,CARD-5677,11.94,189590,39,7,9,40.3,5,0,4,0,0,2,1,15.07,0
NORMAL-0010,CARD-5703,93.66,162842,48,16,3,50.1,4,1,3,0,0,2,1,123.34,0
NORMAL-0011,CARD-3510,76.63,170089,40,8,2,67.95,2,0,0,0,0,2,4,100.61,0
NORMAL-0012,CARD-8072,21.41,395424,53,7,7,1.69,2,1,0,0,0,2,2,30.99,0
NORMAL-0013,CARD-3083,9.68,72980,64,19,3,12.06,4,0,1,0,0,1,5,11.79,0
NORMAL-0014,CARD-8782,27.39,127349,28,18,3,5.5,1,0,2,0,0,2,5,31.28,0
NORMAL-0015,CARD-5107,63.85,479195,72,14,4,17.54,6,0,1,0,0,1,5,90.35,0
NORMAL-0016,CARD-7388,40.95,362863,51,8,9,29.02,12,1,4,0,0,1,5,60.59,0
NORMAL-0017,CARD-4913,89.13,363427,72,14,7,24.0,2,1,3,0,0,2,4,110.93,0
NORMAL-0018,CARD-1914,39.92,13879,64,19,2,48.35,12,0,1,0,0,2,1,43.8,0
NORMAL-0019,CARD-8007,10.52,212509,70,19,10,54.83,2,0,3,0,0,1,1,10.63,0
NORMAL-0020,CARD-3996,8.64,427945,41,16,7,34.57,12,0,2,0,0,2,2,9.93,0
NORMAL-0021,CARD-9675,52.62,309144,66,10,7,2.68,4,0,3,0,0,2,5,62.21,0
NORMAL-0022,CARD-2171,55.4,227670,40,16,3,16.17,12,0,1,0,0,1,4,62.42,0
NORMAL-0023,CARD-7035,14.39,65613,27,15,3,11.89,4,0,2,0,0,2,3,15.29,0
NORMAL-0024,CARD-7801,73.83,54446,43,15,5,23.96,5,0,4,0,0,1,4,84.78,0
NORMAL-0025,CARD-8049,22.38,153255,47,17,12,55.14,4,0,1,0,0,1,3,26.07,0
NORMAL-0026,CARD-9421,28.17,452155,48,10,2,71.58,5,1,0,0,0,1,3,30.37,0
NORMAL-0027,CARD-5797,27.67,275868,29,20,5,7.1,1,1,1,0,0,2,2,31.32,0
NORMAL-0028,CARD-2296,7.83,472464,55,14,5,35.07,1,1,0,0,0,1,2,11.47,0
NORMAL-0029,CARD-4311,90.98,182957,61,11,5,24.16,1,0,0,0,0,2,3,97.35,0
NORMAL-0030,CARD-2136,38.71,295536,54,11,9,0.72,12,1,3,0,0,2,5,45.73,0
NORMAL-0031,CARD-5578,67.48,402303,74,10,4,32.95,12,1,0,0,0,1,1,82.63,0
NORMAL-0032,CARD-2090,82.38,33353,61,13,2,119.18,4,0,2,0,0,1,2,84.19,0
NORMAL-0033,CARD-2190,88.73,294838,30,16,3,118.83,12,0,3,0,0,1,3,108.74,0
NORMAL-0034,CARD-9226,10.42,355920,51,13,9,185.44,5,0,0,0,0,2,5,14.06,0
NORMAL-0035,CARD-7084,40.57,56816,48,20,5,17.33,7,0,2,0,0,2,4,46.95,0
NORMAL-0036,CARD-3389,48.22,323577,69,15,11,35.16,4,0,2,0,0,1,2,62.95,0
NORMAL-0037,CARD-1378,161.28,221357,60,13,7,30.81,6,1,0,0,0,1,5,164.03,0
NORMAL-0038,CARD-2200,95.95,181808,27,12,2,29.19,10,0,1,0,0,2,5,129.88,0
NORMAL-0039,CARD-1349,20.76,94051,65,20,12,1.78,6,1,1,0,0,1,4,26.57,0
NORMAL-0040,CARD-1247,7.43,390147,30,19,2,36.74,2,0,4,0,0,1,5,7.45,0
NORMAL-0041,CARD-5246,7.5,81122,58,9,4,26.46,12,1,4,0,0,1,3,10.96,0
NORMAL-0042,CARD-6995,40.48,402612,29,18,1,111.11,5,0,1,0,0,2,3,57.51,0
NORMAL-0043,CARD-2971,49.06,260859,72,9,12,59.78,1,0,4,0,0,2,1,63.81,0
NORMAL-0044,CARD-3581,11.06,391864,44,18,2,33.92,6,0,0,0,0,2,4,13.53,0
NORMAL-0045,CARD-6955,15.91,106749,55,19,7,39.34,3,0,1,0,0,1,1,22.58,0
NORMAL-0046,CARD-4681,149.84,435310,48,14,11,12.85,1,0,1,0,0,1,4,185.7,0
NORMAL-0047,CARD-8435,78.48,124071,22,8,8,1.38,1,1,4,0,0,1,2,78.5,0
NORMAL-0048,CARD-1795,38.16,37699,33,14,10,68.09,3,0,1,0,0,2,5,47.83,0
NORMAL-0049,CARD-6470,5.65,303239,48,18,3,135.23,12,1,3,0,0,1,1,6.49,0
NORMAL-0050,CARD-2827,86.14,382914,31,14,8,32.14,5,1,1,0,0,2,4,89.38,0
