transaction_id,card_number,amt,city_pop,age,hour,month,distance_cardholder_merchant,category_encoded,gender_encoded,day_of_week_encoded,is_weekend,is_night,velocity_1h,velocity_24h,amount_velocity_1h,is_fraud
NORMAL-0084,CARD-1015,35.55,201843,23,13,7,42.37,2,0,4,0,0,2,1,39.99,0
NORMAL-0054,CARD-7807,212.44,90935,35,11,8,26.75,4,1,2,0,0,2,5,247.84,0
NORMAL-0071,CARD-1141,8.44,6878,22,13,5,1.97,12,0,4,0,0,2,1,9.46,0
NORMAL-0046,CARD-1125,34.47,320761,27,8,9,131.29,4,0,1,0,0,1,1,48.07,0
NORMAL-0045,CARD-4407,8.43,166888,35,10,10,36.28,1,0,2,0,0,1,5,9.02,0
NORMAL-0040,CARD-2211,34.17,239747,70,8,7,66.18,10,0,0,0,0,2,3,48.56,0
NORMAL-0023,CARD-7367,73.3,397474,56,17,8,55.04,12,0,0,0,0,2,5,94.38,0
NORMAL-0081,CARD-9217,126.91,26408,60,15,1,8.73,1,1,4,0,0,2,3,132.63,0
NORMAL-0011,CARD-7265,10.55,327739,73,12,7,4.9,4,0,3,0,0,2,4,12.22,0
NORMAL-0001,CARD-7568,66.14,16441,25,14,6,256.6,7,1,3,0,0,1,1,86.04,0
NORMAL-0019,CARD-3211,23.18,75919,37,11,3,21.63,5,1,3,0,0,2,2,30.24,0
NORMAL-0031,CARD-9569,41.75,241156,23,19,5,1.36,7,0,0,0,0,1,5,58.75,0
NORMAL-0074,CARD-2815,11.08,226186,49,10,7,22.99,1,0,2,0,0,1,5,11.72,0
NORMAL-0034,CARD-3263,182.32,407121,26,17,8,80.98,4,0,0,0,0,2,2,213.01,0
NORMAL-0091,CARD-2333,15.29,440141,33,10,7,26.09,10,1,2,0,0,1,1,17.59,0
NORMAL-0005,CARD-3183,23.4,209458,37,18,8,7.54,2,1,4,0,0,2,3,25.62,0
NORMAL-0077,CARD-5906,106.95,262280,70,8,12,50.03,12,0,3,0,0,2,2,107.34,0
NORMAL-0078,CARD-8762,15.9,463425,64,20,4,8.15,12,0,2,0,0,2,1,16.87,0
NORMAL-0013,CARD-2084,28.27,207673,70,18,12,24.25,12,0,1,0,0,2,1,31.74,0
NORMAL-0032,CARD-8575,96.42,434610,56,8,1,43.9,6,1,1,0,0,2,2,124.41,0
NORMAL-0056,CARD-9137,62.13,139174,44,15,4,28.73,12,0,3,0,0,1,2,69.55,0
NORMAL-0089,CARD-7291,43.61,443028,43,17,1,5.48,12,1,3,0,0,2,4,49.23,0
NORMAL-0027,CARD-3405,35.81,49391,34,14,4,12.94,2,0,0,0,0,1,2,43.7,0
NORMAL-0043,CARD-9751,26.31,96414,31,8,5,62.3,10,0,2,0,0,1,5,38.11,0
NORMAL-0070,CARD-3325,159.17,414257,54,13,3,19.34,10,0,0,0,0,1,3,160.84,0
NORMAL-0016,CARD-6441,49.99,85723,30,8,12,6.36,6,1,4,0,0,1,2,52.5,0
NORMAL-0041,CARD-7131,53.08,488371,24,10,9,111.87,1,1,2,0,0,1,2,73.62,0
FRAUD-0002,CARD-3955,776.78,330357,21,1,12,296.61,13,0,3,1,1,4,13,3107.12,1
NORMAL-0010,CARD-3527,10.75,214315,64,20,4,424.81,12,1,3,0,0,1,1,12.0,0
NORMAL-0073,CARD-3193,57.16,467606,64,19,4,18.32,10,0,4,0,0,2,3,65.03,0
NORMAL-0012,CARD-4727,31.28,303127,55,10,11,92.82,3,1,3,0,0,2,4,38.38,0
NORMAL-0048,CARD-1239,40.22,215395,47,16,1,28.75,1,0,2,0,0,1,3,43.27,0
NORMAL-0086,CARD-4684,22.61,299545,28,16,9,6.56,4,0,3,0,0,1,4,24.96,0
NORMAL-0029,CARD-4645,47.76,414445,57,11,1,101.66,12,1,3,0,0,1,2,58.49,0
NORMAL-0094,CARD-2050,16.43,214759,60,16,4,6.4,7,1,0,0,0,2,5,24.32,0
NORMAL-0006,CARD-7925,13.15,154297,69,13,2,79.05,3,1,3,0,0,1,1,13.5,0
NORMAL-0067,CARD-3972,46.17,276398,62,11,1,72.45,1,0,0,0,0,2,1,67.5,0
NORMAL-0066,CARD-2990,95.87,194104,41,19,6,63.17,4,1,4,0,0,1,2,99.76,0
NORMAL-0036,CARD-2276,107.25,393259,24,14,7,2.96,1,1,3,0,0,2,1,144.37,0
NORMAL-0017,CARD-7288,123.11,21087,39,19,1,193.28,12,1,0,0,0,1,4,131.95,0
NORMAL-0050,CARD-8722,58.57,49210,28,9,4,51.31,4,1,3,0,0,1,1,64.12,0
NORMAL-0035,CARD-4607,12.43,144697,46,8,3,72.01,12,0,4,0,0,1,2,16.52,0
NORMAL-0008,CARD-8093,76.16,138237,32,12,7,39.42,6,0,3,0,0,1,4,109.77,0
FRAUD-0001,CARD-9760,957.49,414590,24,22,4,94.31,13,1,6,0,1,4,13,3829.96,1
NORMAL-0028,CARD-1322,6.52,85950,71,19,2,9.28,1,0,3,0,0,1,3,7.29,0
NORMAL-0020,CARD-9503,23.2,36163,67,17,9,52.16,7,1,1,0,0,1,2,31.91,0
NORMAL-0082,CARD-1450,88.34,255892,59,9,8,5.51,1,0,0,0,0,1,2,131.34,0
NORMAL-0026,CARD-2318,35.85,398516,65,20,7,87.48,2,1,1,0,0,1,1,42.98,0
NORMAL-0063,CARD-4433,94.44,182242,59,9,10,156.37,10,1,3,0,0,1,4,100.22,0
NORMAL-0014,CARD-4816,88.72,126844,59,13,4,34.11,10,0,0,0,0,2,2,105.37,0
NORMAL-0025,CARD-8131,30.4,435181,30,18,10,92.88,2,0,3,0,0,2,5,31.76,0
NORMAL-0004,CARD-1573,61.33,310649,40,12,4,79.79,3,1,2,0,0,2,2,71.58,0
NORMAL-0018,CARD-4799,11.92,154330,66,20,4,75.75,1,1,2,0,0,2,4,17.51,0
NORMAL-0039,CARD-5180,87.08,454549,29,20,7,44.91,4,1,4,0,0,1,3,94.99,0
NORMAL-0009,CARD-1766,13.11,146033,38,18,6,12.19,12,1,0,0,0,1,2,18.49,0
NORMAL-0079,CARD-4294,5.84,141878,31,16,11,42.56,3,1,2,0,0,1,1,7.79,0
NORMAL-0007,CARD-5322,11.22,242826,27,15,4,25.39,4,1,1,0,0,2,4,16.46,0
NORMAL-0065,CARD-6379,48.2,59843,59,10,2,36.42,1,0,2,0,0,2,1,48.81,0
NORMAL-0037,CARD-5641,8.9,324338,69,7,7,22.33,7,1,3,0,0,2,1,10.22,0
NORMAL-0090,CARD-8921,53.61,130454,34,8,7,3.92,5,1,1,0,0,2,1,61.65,0
NORMAL-0057,CARD-5232,25.08,115766,68,18,3,87.75,5,0,4,0,0,1,2,27.85,0
FRAUD-0005,CARD-5062,623.04,113028,42,0,1,80.79,0,1,1,1,1,5,12,3115.2,1
NORMAL-0055,CARD-2700,67.66,495972,61,7,12,3.65,7,1,1,0,0,2,2,93.04,0
NORMAL-0044,CARD-5795,34.27,278597,68,16,5,69.81,10,0,1,0,0,1,5,34.92,0
NORMAL-0051,CARD-1945,35.6,9754,49,15,8,9.11,4,1,3,0,0,2,5,48.79,0
NORMAL-0068,CARD-9857,12.33,428699,42,16,2,9.71,12,1,4,0,0,2,2,16.64,0
NORMAL-0047,CARD-1314,25.54,398252,27,15,7,4.37,12,0,4,0,0,1,1,33.73,0
NORMAL-0069,CARD-4550,20.58,192825,40,17,6,184.37,7,0,1,0,0,1,3,29.7,0
NORMAL-0062,CARD-8988,71.68,423962,60,20,3,59.37,12,1,0,0,0,1,2,84.85,0
FRAUD-0003,CARD-4363,804.27,477186,37,0,4,131.88,11,0,6,0,1,6,8,4825.62,1
NORMAL-0080,CARD-7236,91.49,58012,37,18,7,64.19,3,0,0,0,0,2,4,106.08,0
NORMAL-0042,CARD-8942,65.27,108301,26,16,5,34.73,7,0,4,0,0,2,1,78.28,0
NORMAL-0059,CARD-3060,40.39,367662,46,7,8,14.43,1,1,2,0,0,2,5,55.33,0
NORMAL-0049,CARD-3841,76.3,209095,38,13,10,65.57,6,0,4,0,0,2,2,89.4,0
FRAUD-0004,CARD-8022,867.71,248662,21,1,6,235.49,0,1,4,0,1,7,15,6073.97,1
NORMAL-0058,CARD-3144,7.63,447842,61,18,3,32.36,6,1,3,0,0,1,3,9.17,0
NORMAL-0076,CARD-3142,41.26,8227,62,13,3,57.34,7,0,2,0,0,1,1,55.41,0
NORMAL-0033,CARD-8677,64.92,358157,42,10,11,19.42,3,1,3,0,0,2,3,65.9,0
NORMAL-0095,CARD-8616,21.47,23598,66,14,7,9.27,12,1,2,0,0,1,1,22.05,0
NORMAL-0060,CARD-2841,75.73,326150,48,7,8,32.33,12,0,4,0,0,1,2,88.42,0
NORMAL-0064,CARD-9607,90.76,307078,35,12,1,6.31,6,1,1,0,0,2,3,127.63,0
NORMAL-0085,CARD-7312,16.59,183115,42,18,11,1.05,3,1,4,0,0,1,1,23.55,0
NORMAL-0038,CARD-9270,107.83,108704,24,11,11,21.92,1,0,2,0,0,2,3,136.62,0
NORMAL-0030,CARD-1315,16.24,276336,33,15,2,77.03,1,1,2,0,0,2,4,21.72,0
NORMAL-0002,CARD-9839,9.8,55027,41,11,8,5.36,10,1,0,0,0,2,2,10.83,0
NORMAL-0053,CARD-1847,32.72,451104,70,14,8,55.47,10,0,0,0,0,1,4,47.55,0
NORMAL-0022,CARD-3759,125.91,339140,36,11,12,55.63,3,0,3,0,0,1,1,168.74,0
NORMAL-0003,CARD-7985,18.7,428565,29,9,6,12.08,10,0,2,0,0,2,5,22.74,0
NORMAL-0024,CARD-3833,10.21,139260,74,20,7,87.28,12,1,4,0,0,2,1,13.65,0
NORMAL-0088,CARD-7764,33.49,458369,65,15,2,37.68,10,0,3,0,0,2,5,39.14,0
NORMAL-0092,CARD-5356,25.12,20717,48,20,3,19.74,10,1,0,0,0,1,4,34.62,0
NORMAL-0075,CARD-5657,62.23,270596,22,9,1,69.99,1,1,1,0,0,2,2,70.42,0
NORMAL-0087,CARD-4612,76.0,481050,57,18,7,2.44,3,1,1,0,0,2,2,79.39,0
NORMAL-0083,CARD-7651,81.39,245154,35,15,9,6.06,2,0,1,0,0,2,5,113.13,0
NORMAL-0021,CARD-5368,141.13,245584,74,14,6,24.99,10,1,3,0,0,2,2,182.23,0
NORMAL-0061,CARD-1260,168.03,387329,23,16,12,54.29,1,1,0,0,0,2,1,174.43,0
NORMAL-0072,CARD-5548,17.71,361114,72,17,6,38.04,12,1,0,0,0,1,4,22.37,0
NORMAL-0015,CARD-8968,55.75,241848,49,12,9,17.6,3,1,2,0,0,1,1,73.77,0
NORMAL-0093,CARD-5459,22.84,333576,31,13,10,17.42,1,0,0,0,0,2,4,23.75,0
NORMAL-0052,CARD-1408,36.93,54182,74,17,6,17.19,3,0,2,0,0,1,5,46.1,0
